Authors,Title,Source,Year,RI,New sp.,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,DOI
"Chávez G, Thompson ME, Sánchez DA, Chávez-Arribasplata JC, Catenazzi A","A needle in a haystack: Integrative taxonomy reveals the existence of a new small species of fossorial frog (Anura, Microhylidae, Synapturanus) from the vast lower Putumayo basin, Peru.",Evolutionary Systematics,2022,31,1,0,0,0,1,0,0,0,0,https://doi.org/10.3897/evolsyst.6.80281
"Faustino-Fuster, DR, LS de Souza",A new species of Cetopsorhamdia (Siluriformes: Heptapteridae) from the Upper Amazon River basin,Journal of Fish Biology,2021,"17, 18",1,0,0,1,0,0,0,0,0, https://doi.org/10.1111/jfb.14914
"Piperno, DR, CH McMichael, NCA Pitman, JE Guevara Andino, M Ríos Paredes, BM Heijink, LA Torres-Montenegro","A 5,000-year vegetation and fire history for tierra firme forests in the Medio Putumayo-Algodón watersheds, northeastern Peru",PNAS,2021,28,0,1,1,0,0,0,0,0,0,https://doi.org/10.1073/pnas.2022213118
Pitman et al. ,Applied science facilitates the large-scale expansion of protected areas in an Amazonian hot spot,Science Advances,2021,,0,1,1,1,1,1,1,1,1,https://doi.org/10.1126/sciadv.abe2998
"Faustino-Fuster, DR, and H Ortega","A new species of Mastiglanis Bockmann 1994 (Siluriformes: Heptapteridae) from the Amazon River basin, Peru",Zootaxa,2020,23,1,0,0,1,0,0,0,0,0,https://doi.org/10.11646/zootaxa.4820.2.6
"Jézéquel, C., Tedesco, P.A., Bigorne, R. et al.",A database of freshwater fish species of the Amazon Basin.,Sci Data,2020,,0,0,0,1,0,0,0,0,0,
"White, DM","A new variety of Erythroxylum ulei from the Cordillera Escalera of Peru (Archerythroxylum, Erythroxylaceae)",Phytotaxa,2020,26,1,0,1,0,0,0,0,0,0,https://doi.org/10.1038/s41597-020-0436-4
"Thompson, M. E., R. Saporito, G. F. Medina-Rangel , D. H. Ruiz-Valderrama, and M. A. Donnelly.",A field-based survey of fluorescence in tropical tree frogs using UV-light,Herpetology Notes,2019,30,0,0,0,0,1,0,0,0,0,
"Torres Montenegro, L., M. A. Ríos Paredes, N. C. A. Pitman, C. F. Vriesendorp, N. Hensold, Í. Mesones Acuy, N. Dávila Cardozo, I. Huamantupa, H. W. Beltrán, R. García-Villacorta, T. J. Mori Vargas, D. A. Neill, P. V. A. Fine, J. T. López-López, G. Núñez Iturri, W. Palacios, N. Salinas Revilla & W. Trujillo Calderón.",Sesenta y cuatro nuevos registros para la flora del Perú a través de inventarios biológicos rápidos en la Amazonía peruana (Sixty-four new records for the flora of Peru from rapid biological inventories in the Peruvian Amazon),Revista Peruana de Biología,2019,,0,0,1,0,0,0,0,0,0,https://doi.org/10.15381/rpb.v26i3.16780 
"Damián Parizaca A, and LA Torres Montenegro",The genus Palmorchis (orchidaceae: neottiae) in peru: A taxonomic synopsis including four new species and a new record,LANKESTERIANA,2018,,1,0,1,0,0,0,0,0,0,https://doi.org/10.15517/lank.v18i3.35123
"Dávila, N., L. Kinoshita & C. M. Taylor","Platycarpum vriesendorpiae sp. nov., a second new species of Tribe Henriquezieae (Rubiaceae) from nutrient?poor soils in the Peruvian Amazon. ",Nordic Journal of Botany ,2018,16,1,0,1,0,0,0,0,0,0,
"Freitas Gomes, V. H. F., and >100 others",Species distribution modelling: Contrasting presence-only models with plot abundance data,Scientific Reports,2018,,0,0,1,0,0,0,0,0,0,
"Rivadeneira, C. D., P. J. Venegas, and S. R. Ron.","Species limits within the widespread Amazonian treefrog Dendropsophus parviceps with descriptions of two new species (Anura, Hylidae).",ZooKeys,2018,27,1,0,0,0,1,0,0,0,0,
"Socolar, JB, J Díaz-Alván, P Saboya Del Castillo, LY Pomara, BJ O'Shea, S Cubas Poclin, D Stotz, F Schmitt, Dn Graham, BH Carnes, and E Ruelas Inzunza",Noteworthy bird records from northeastern Peru reveal connectivity and isolation in the western Amazonian avifauna,The Wilson Journal of Ornithology,2018,"18, 27",0,0,0,0,0,0,1,0,0,
"Taylor, C",New Species for Ixora in Western South America (Ixoreae),Novon,2018,,1,0,1,0,0,0,0,0,0,
"Thompson, ME, G Medina-Rangel, DH Ruiz-Valderrama","First record and massive range extension of Hyalinobatrachium cappellei (Van Lidth de Jeude, 1904) (Anura: Centrolenidae) in Colombia",Check List,2018,30,0,0,0,0,1,0,0,0,0,https://doi.org/10.15560/14.6.945
Chilquillo Torres et al., A New Species of Ladenbergia (Cinchoneae: Rubiaceae) from an Andean tepui in Northeastern Peru,Systematic Botany,2017,26,1,0,1,0,0,0,0,0,0,
"Doan, TM",Book review. Peru´ : Tapiche-Blanco. Rapid Biological and Social Inventories Report 27.,Copeia,2017,27,0,0,0,1,1,1,0,0,0,
"Draper, F. C., E. N. Honorio Coronado, K. H. Roucoux, I. T. Lawson, N. C. A. Pitman, P. V.A. Fine, O. L. Phillips, L. A. Torres Montenegro, E. Valderrama Sandoval, I. Mesones, R. García-Villacorta, F. R. Ramirez Arévalo & T. R. Baker",Peatland forests are the least diverse tree communities in Amazonia but contribute to high regional beta-diversity,Ecography,2017,,0,0,1,0,0,0,0,0,0,
"Lane, DF, T Pequeño","A new Peruvian locality for Scimitar-winged Piha Lipaugus uropygialis, with the first description of flight display and other natural history notes",Bulletin of the British Ornithologists' Club,2017,15,0,0,0,0,0,0,1,0,0,
"Pos, E., J. E. Guevara Andino, D. Sabatier, J.-F. Molino, N. Pitman, H. Mogollón, D. Neill, C. Cerón, G. Rivas-Torres, A. Di Fiore, R. Thomas, M. Tirado, K. R. Young, O. Wang, R. Sierra, R. García-Villacorta, R. Zagt, W. Palacios Cuenca, M. Aulestia & H. ter Steege",Estimating and interpreting migration of Amazonian forests using spatially implicit and semi-explicit neutral models,Ecology and Evolution,2017,,0,0,1,0,0,0,0,0,0,
"ter Steege, H., R. W. Vaessen, D. Cárdenas-López, D. Sabatier, A. Antonelli, S. Mota de Oliveira, N. Pitman, P. M. Jørgensen, R. P. Salomão & V. H. F. Gomes",A descoberta da flora arbórea da Amazônia com uma lista atualizada de todos os taxa arbóreos conhecidos,Boletim do Museu Paraense Emílio Goeldi de Ciências Naturales,2017,,,,1,0,0,0,0,0,0,
