ID,Title,Authors,Source,Type,Year,RI,Describe new sp.?,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,cumulative,doi
,"Jézéquel, C., Tedesco, P.A., Bigorne, R. et al.",A database of freshwater fish species of the Amazon Basin.,Sci Data,Journal Article,2020,,0,0,0,1,0,0,0,0,0,132,https://doi.org/10.1038/s41597-020-0436-4
,"Torres Montenegro, L., M. A. Ríos Paredes, N. C. A. Pitman, C. F. Vriesendorp, N. Hensold, Í. Mesones Acuy, N. Dávila Cardozo, I. Huamantupa, H. W. Beltrán, R. García-Villacorta, T. J. Mori Vargas, D. A. Neill, P. V. A. Fine, J. T. López-López, G. Núñez Iturri, W. Palacios, N. Salinas Revilla & W. Trujillo Calderón.",Sesenta y cuatro nuevos registros para la flora del Perú a través de inventarios biológicos rápidos en la Amazonía peruana (Sixty-four new records for the flora of Peru from rapid biological inventories in the Peruvian Amazon),Revista Peruana de Biología,Journal Article,2019,,0,0,1,0,0,0,0,0,0,131,
,"Thompson, M. E., R. Saporito, G. F. Medina-Rangel , D. H. Ruiz-Valderrama, and M. A. Donnelly.",A field-based survey of fluorescence in tropical tree frogs using UV-light,Herpetology Notes,Journal Article,2019,30,0,0,0,0,1,0,0,0,0,131,
, The genus Palmorchis (orchidaceae: neottiae) in peru: A taxonomic synopsis including four new species and a new record,"Damián Parizaca A, and LA Torres Montenegro",LANKESTERIANA,Journal Article,2018,,1,0,1,0,0,0,0,0,0,129,
,New Species for Ixora in Western South America (Ixoreae),"Taylor, C",Novon,Journal Article,2018,,1,0,1,0,0,0,0,0,0,129,
,Noteworthy bird records from northeastern Peru reveal connectivity and isolation in the western Amazonian avifauna,"Socolar, JB, J Díaz-Alván, P Saboya Del Castillo, LY Pomara, BJ O'Shea, S Cubas Poclin, D Stotz, F Schmitt, Dn Graham, BH Carnes, and E Ruelas Inzunza",The Wilson Journal of Ornithology,Journal Article,2018,"18, 27",0,0,0,0,0,0,1,0,0,129,
,"Platycarpum vriesendorpiae sp. nov., a second new species of Tribe Henriquezieae (Rubiaceae) from nutrient?poor soils in the Peruvian Amazon","Dávila, N, L Kinoshita, CM Taylor",Nordic Journal of Botany,Journal Article,2018,16,1,0,1,0,0,0,0,0,0,129,
,Species distribution modelling: Contrasting presence-only models with plot abundance data,"Freitas Gomes, V. H. F., and >100 others",Scientific Reports,Journal Article,2018,,0,0,1,0,0,0,0,0,0,129,
,A descoberta da flora arbórea da Amazônia com uma lista atualizada de todos os taxa arbóreos conhecidos,"ter Steege, H., R. W. Vaessen, D. Cárdenas-López, D. Sabatier, A. Antonelli, S. Mota de Oliveira, N. Pitman, P. M. Jørgensen, R. P. Salomão & V. H. F. Gomes",Boletim do Museu Paraense Emílio Goeldi de Ciências Naturales,Journal Article,2017,,,,1,0,0,0,0,0,0,123,
,A new approach to conservation: using community empowerment for sustainable well-being,"Wali, A,  D Alvira, P Tallman, A Ravikumar, M Macedo",Ecology and Society,Journal Article,2017,,0,1,0,0,0,0,0,0,0,123,
,"A new disjunct Dendrothrix (Euphorbiaceae, tribe Hippomaneae): a Guiana Shield element in sub-Andean cordilleras of Ecuador and Peru","Wurdack, KJ",PhytoKeys,Journal Article,2017,26,1,0,1,0,0,0,0,0,0,123,
,"A new Peruvian locality for Scimitar-winged Piha Lipaugus uropygialis, with the first description of flight display and other natural history notes","Lane, DF, T Pequeño",Bulletin of the British Ornithologists' Club,Journal Article,2017,15,0,0,0,0,0,0,1,0,0,123,
,A New Species of Ladenbergia (Cinchoneae: Rubiaceae) from an Andean tepui in Northeastern Peru,Chilquillo Torres et al.,Systematic Botany,Journal Article,2017,26,1,0,1,0,0,0,0,0,0,123,
,A revision of neotropical Diospyros (Ebenaceae): part 10,"Wallnöfer, B",Annalen des Naturhistorischen Museums in Wien. Serie B für Botanik und Zoologie,Journal Article,2017,12,1,0,1,0,0,0,0,0,0,123,
,Book review. Peru´ : Tapiche-Blanco. Rapid Biological and Social Inventories Report 27.,"Doan, TM",Copeia,Book Review,2017,27,0,0,0,1,1,1,0,0,0,123,
